,refrigerator,bowl,airplane,motorcycle,frisbee,couch,keyboard,fork,bench,toaster,sink,tennis racket,spoon,truck,carrot,laptop,hot dog,tv,cost,suitcase,mouse,elephant,clock,backpack,bear,orange,sports ball,bird,car,book,oven,banana,tie,kite,person,broccoli,dog,remote,microwave,baseball glove,cat,knife,teddy bear,skis,dining table,apple,baseball bat,stop sign,bus,donut,surfboard,cow,cake,wine glass,sandwich,parking meter,scissors,traffic light,horse,bicycle,fire hydrant,toothbrush,chair,giraffe,pizza,potted plant,umbrella,zebra,vase,toilet,cell phone,boat,handbag,bottle,sheep,cup,snowboard,bed,skateboard,train
model_162,,,,,,,,,,,,,,,,,,,373.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_10,,,,,,,,,,,0.748943,,,,,,,,2714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_38,,,0.829102,,,,,,,,,,,,,,,,1562.0,,,0.87058,,,,,,0.511188,,,,,0.627121,,,,,,,,0.859388,,,,,0.433633,0.747265,,,,,0.754394,,,,,,0.634336,,,0.804692,,,,,,0.595461,,,,,,,,,,,,,
model_200,0.851171,,,0.705841,,0.607311,,,,,,,,,,,,,373.0,,,,,,,0.591258,,0.517677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573584,,,,,,,,,,,,,,
model_39,,,,,,,,,,,,,,,,,,,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789086,,,,,,,,,,,,,,,,0.713983,,0.615376,,,,,,,,,,,0.741334,,
model_11,,,0.87482,,0.771442,0.694594,,,0.585748,,0.782316,,0.419528,,,,,,2554.0,,,,,0.549941,,0.556142,,0.514793,,0.466609,,,,,,,,,,,,,,,,,,0.750761,,0.741629,,0.784171,,,0.514909,,,0.634336,0.916013,,0.852249,,,0.892569,,,0.615376,,,,,,0.511469,,,,,0.711681,,
model_163,,,,,,,,,,,,,,,,,,,469.0,,,,,,,,,,,,,,,,,,,0.340316,,,,,,0.341317,,,,0.730173,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.597356,,
model_177,,,0.734631,,0.83244,0.693292,0.591592,0.887127,,,,,,0.496689,,0.854329,,,373.0,,,,0.825875,,,,0.737879,,,,0.373268,,,,,,,0.340316,,,0.573906,,0.904225,,,,,,,,0.567603,,,0.497439,,,,0.62509,,,,,0.581475,0.936104,,,,0.834042,0.596177,,0.479716,,,,0.556876,,,0.337621,,
model_188,,,,,,0.711457,,,,1.0,,0.834759,,,,,,,373.0,,,0.791781,0.816684,0.383293,,0.619431,,,,0.519882,,,,,,,,,0.517882,,,0.499312,1.0,0.341317,,,,0.684711,,,,,,,,,,,,,,,,0.939942,,0.569768,,0.84913,,,,,,,,,,,0.734181,
model_149,,,,,,,,,,,,,,,,,,,389.0,0.565545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_161,,,,,,,,,,,,,,,,,0.65925,,373.0,,,,,,0.725915,,,0.550032,0.673358,,,,0.719091,,,0.533442,0.648438,,,,,,,,,,,,0.880072,,,,,,,,,0.64851,,0.777293,,0.0,,,,,,,0.596177,,,,,0.485107,,,0.348271,0.597356,,
model_175,,,,,,,,0.887127,,1.0,,,,,,,,,533.0,,,,,,0.725915,,,,0.672319,,0.373268,0.444331,0.719091,,,0.533442,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.84913,,,,,,0.489154,,,0.442524,,,
model_13,,,,,,,,0.60846,,,,,,,,,,,2058.0,,,,0.767235,0.537622,,,,,0.717318,,0.613647,,,,,,,,,0.784591,0.887108,,,0.599406,,,,,,,,0.775837,,,,,,,,,,,,,,,,,,0.840454,,,0.521875,0.578865,0.634462,0.625247,,0.719981,,
model_12,,,,,0.776819,,,,0.582535,0.242149,0.767667,,,,0.518038,,,,2762.0,,,,,,,,,,,,,,,,,,,,0.686129,,,,,,0.592031,,,,,,,,,,,,,,0.870858,,0.817299,,,,,,,,,,,,,0.584303,,,,,,0.855245
model_174,,,,,,,,,,,,,,,,,,,453.0,,,,,0.415124,,,,,,,0.373268,,,,,0.533442,,,,,,,,,,,,,0.876365,,,,,,0.52059,1.0,,,0.711553,,,,,,,,,,,,,,,,,,,,,
model_160,,,,,,0.756318,,,,,,,,,,,,,373.0,,,,,,,,0.737879,,,,,,,,,,,,,0.586483,,,1.0,,,,0.676124,,0.880072,,0.633272,0.66841,,,,,,,,,0.805357,,0.592388,,,,,,,,,,,,,0.636182,,0.43069,,
model_148,,,0.847004,,0.8385,,0.633228,,,1.0,0.809858,0.834759,,,0.407429,,0.652237,0.809201,357.0,0.565545,0.788476,0.797311,,,,0.619431,0.74398,0.550032,0.671273,0.519882,0.373268,,,0.63616,,,0.648438,0.340316,0.517882,0.586483,,,,0.341317,,,,,,,0.663691,0.66841,,,0.52059,1.0,,,0.711553,0.777293,0.805357,,,0.939942,0.796611,,0.524235,,,,0.521404,,,,0.565224,0.636182,0.442524,,,
model_107,,,,,,,,,,,0.752622,,,,,,,,197.0,,,,,,,,,,,,,,,,,0.533442,,,,,,,0.9053,,,,,,,,,0.661813,,,,0.693859,,,,,,,,,,,,,,,0.479716,,,,,,,,,
model_113,,,,,,,,,,,,,,,,,0.710219,,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.676124,,,,0.663691,,,,0.52059,,,,,,,,,,,,0.524235,,,,,,,,,0.636182,,,,
model_49,,,,,,,,,,,,,,,,,,,3130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.928609,,,,,,,,,,,,,,,,
model_75,,,,,,,0.665305,0.60846,,,,,,,,,,,970.0,,,,,,0.806123,,,,,,,,,,,,,,,,,,0.792245,,,,,0.714974,0.798783,,,,,,,,,,,0.778061,,0.346074,,,,,,,,,,,0.516619,,0.62935,,,,0.751876,
model_61,0.697353,,0.777635,,,,,0.558896,,0.375744,0.763235,0.689448,,,0.505704,0.723421,0.692499,,1002.0,0.618699,0.762722,,,0.531667,,,0.683224,,,,0.658562,0.502105,0.635423,,0.765589,0.489039,0.864346,,,0.807214,,0.619167,,0.585897,0.591028,,,0.717087,0.793714,,0.836403,0.762687,,,0.514909,,,0.619231,,,0.779152,,0.538369,0.825129,0.693679,0.500979,0.609682,0.891672,,,,,,,,,,,,0.868908
model_60,,,,,,,,,,,,,,0.626603,,,,,2010.0,,,,,,,,,,,,,,,,,0.493271,,,,,,,,,,,,,0.779621,,,,,,,,,,,,,,,,,,,,,,,0.67912,,0.586758,,,,,,
model_74,0.719116,,,0.785031,,,,,,,,,,,,,,0.732619,1450.0,,,,,0.526421,,,0.694255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333903,,,,0.827788,,,0.92561,0.696994,,0.608834,0.882117,,0.807681,,,,,,,,,,
model_48,,,,,,,0.665305,,,,,,,,,,,,1898.0,,0.756297,,,0.544725,0.83864,,,,,,0.647738,,,,,0.468923,,,,,,,,,0.574494,,,,,,,,,,,,,0.634336,,,,,0.538533,,,,,,,,,,,,,0.623016,,0.691182,0.725922,
model_112,0.851171,,,0.705841,,,,,0.675873,,,,,,,,,,437.0,0.565545,0.788476,,,,,,,,,0.519882,,,,0.599812,0.739973,0.523106,,0.340316,,0.563198,,,,,,,,,,,,0.66841,0.748836,,,1.0,,,,,,0.0,,,,,0.524235,,0.596177,,,0.609665,,,0.56724,,,,,
model_106,,,,,0.832109,,,,0.701072,1.0,,,,,,,,,261.0,,,,0.828365,,,,,,,,,,,,,,,0.340316,,,,0.428056,,,,,,,,,,,,,,,,,0.732686,,0.805357,0.0,,,,,,0.84913,,,,,,0.489154,,,,,,
