,refrigerator,bowl,airplane,motorcycle,frisbee,couch,keyboard,fork,bench,toaster,sink,tennis racket,spoon,truck,carrot,laptop,hot dog,tv,cost,suitcase,mouse,elephant,clock,backpack,bear,orange,sports ball,bird,car,book,oven,banana,tie,kite,person,broccoli,dog,remote,microwave,baseball glove,cat,knife,teddy bear,skis,dining table,apple,baseball bat,stop sign,bus,donut,surfboard,cow,cake,wine glass,sandwich,parking meter,scissors,traffic light,horse,bicycle,fire hydrant,toothbrush,chair,giraffe,pizza,potted plant,umbrella,zebra,vase,toilet,cell phone,boat,handbag,bottle,sheep,cup,snowboard,bed,skateboard,train
model_68,,0.564555,,,0.785198,0.674291,,,0.580405,,0.778083,,0.377104,0.616331,,,0.789615,,2058.0,,0.743131,0.851062,,,,,,,,0.463665,,,,,,0.484879,,0.597712,,,,,0.776121,,,0.469769,,0.737631,,,,,,,,,0.501423,0.623878,,0.803537,,0.531852,0.537385,,0.696994,,,0.890486,0.493439,0.819442,,0.683035,,,0.612225,,,,,0.855245
model_54,,,,,0.741887,,,,,0.389532,,,,,,,,0.73825,1514.0,,,,,,,0.57989,,,,,,,,,,,,0.607526,,,,,,0.628383,,,,,,,,,0.745943,0.615075,,,,,0.902112,0.813813,,,,,,0.511395,,0.900346,0.522263,0.840454,,,,,,0.627439,,,,
model_40,,,,,,,,,,,,,,,,,,,1274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491356,,,,,,,
model_41,,,,,,0.661892,,,0.593303,,0.739955,,,,,,,,3882.0,,,,,,0.83864,,,0.522157,,,,,,,,,,,,,,,,,,0.443684,0.768854,0.790319,,,,,,,,,,,,,,,,,,0.501,,0.89923,,,0.53909,,,,,,,,,
model_55,0.625489,0.572777,0.87482,,,,,,0.593303,,,,,,,0.734108,0.77064,0.750353,1018.0,0.66249,,,,0.544725,,0.549869,,,0.719734,,,,,,0.767659,,,0.607526,0.736743,,0.898315,0.630652,,,,,,,0.79628,,0.855004,,0.751099,,0.474937,0.647147,,,,0.803537,0.852249,0.419111,0.543412,,,0.506262,0.608834,,,,,,,,0.612225,0.629646,,,,0.895563
model_69,,0.557572,,,,,,0.581252,,,,0.712142,,0.599896,,0.70148,0.689863,,2346.0,0.650851,,,,,,,,,,,,,,,,0.497577,,,0.538266,,,0.630652,,,,0.441612,,,,0.777533,,,,,,,,,,,,,,,,,,,0.493619,,,0.690583,,,,0.630565,0.571715,,0.740156,
model_82,,,,,,,,,,,,,,,,,,,1434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888034,,,,,,0.581602,,,,,,
model_96,,,,,,0.649942,0.658625,,,,,,,,,,,,1610.0,,,,,,,,0.683926,,0.720036,,,,,,,,,,,,,,,,0.600857,,,,,,,,,,,,,,,,,,0.539018,,0.717218,,,,,,,,,0.584046,,,,,,
model_3,0.657552,,,0.803683,,,,,,,,,,,,,,,1930.0,,,,,,,,,,,,,,,,0.765679,,,,,,,,,,,,,,,,,,,,0.473542,,,,,0.778061,,,,,,,,,,,,,,,,,,,,
model_133,,,,,,,,,,,,,,,,,,,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.880072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.568225
model_127,,,,0.69903,,,,,,,,,,,,,,,261.0,,,,0.828365,,,,,,,,,,,,,,,,,,,,1.0,,,0.419945,,,,,0.663691,,,,,,,,,,,,,,0.763418,,,,,,,,,,,,,,,0.568225
model_131,,,,,,,0.633228,,,1.0,,,,,,0.858453,,,325.0,,,,0.805106,,,0.619431,,,,,,,,,,,,,0.461166,,,,,,,,,,,,,,,,,,,0.64851,,,,,,,,,,,,,,,,,,,,,0.734181,
model_125,0.851171,,,,,,,,,0.264545,,,0.69641,,,,0.682094,,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419945,,,,,,0.66841,,0.523759,,,,,,0.777293,,,,,0.796611,0.584919,,,,,0.499665,,,,,,,,,
model_119,0.851171,0.598229,,,,,,,,,,,,0.512604,,,,,581.0,,0.756477,0.797311,,,,,,,0.671273,,,0.499897,0.719091,,,,,,,,,,,,0.631429,,0.676124,,0.85009,0.846107,,,,,0.52059,,,0.64851,0.732686,,0.805357,,0.587866,,0.747015,,,,0.596177,,,,0.459078,,0.56724,,0.348271,,,
model_1,,,,,,,,,,,,,,,,,,,1978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500495,,,,,,,,,,,
model_80,,,,0.788781,0.735953,0.681076,,,,0.325856,,0.740923,0.419528,0.630399,0.518495,,0.701674,,1258.0,0.634965,,,,0.538484,,0.57989,0.694255,0.51819,,,0.670606,,,,0.766203,,,,,,0.896562,0.619167,,0.589954,0.602459,0.433633,,,,,,,,0.598879,,,,,,,,,,,,,,,,,,0.657728,,,,0.630944,,,,
model_94,,,,,,0.674291,,,,,,,,,,,,,1978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662715,,
model_43,,,,0.813835,,0.700535,,,0.573014,,,0.727452,0.400174,,,,,0.750353,986.0,,0.762722,,0.776269,,,,,,,,,,,,,,,,0.603262,0.807214,,,,0.628383,,,,,,,,,,,,,,,,,,,,,0.712413,,0.605255,,,,,,,,,,,,0.740737,
model_57,,,,,,,,,,,,,,,,,,,2058.0,,,,,,,,,,,,,,,,,0.493153,,,,0.735944,,,,,,,,,,,,,0.745943,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_56,,,,,,,,,,,,,,,,,,0.720803,1994.0,,,,,,,,,,,,,,,,0.765608,,,,,,,,,,0.589563,,,,,,0.840988,,,,,,,,,,,,,,,,0.595461,,,,,,,,,,,,,
model_42,,,,,,,,,,,,,,,,,,,1274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526838,,,,,,,,,
model_95,,,0.790546,,,,,,,,,,,,,,,,1594.0,,,,,,,,,,,,,,,,,0.470881,,,0.593089,,,0.587092,,,,,,,,,,,,,,,,,,,,0.531852,,0.873165,,,,,,,,,,,,,,,,
model_81,,,,,,0.688411,,,,0.389532,,,,,,0.741738,,0.74138,1850.0,,0.756297,0.840035,,,0.83864,,,,,0.46112,,0.495255,,,,,,,,,,,,,,,,0.714974,,,,,0.782887,,0.501482,,,,0.91744,,,,,0.906537,0.698011,,,,,0.823156,,,,,,,,0.699823,,
model_118,,,0.768621,,,,,0.682276,,1.0,,,,0.480566,0.397892,,,,677.0,,,,,,,,,0.493076,0.655094,,0.340028,,0.658767,0.61344,,,,0.340316,0.380706,,,,,0.341317,,0.380041,,,0.807449,,,0.627082,,,,0.693859,0.0,0.64851,,,0.699676,,0.574883,0.839117,0.763418,0.569768,0.502288,,0.547614,,,,,,0.53524,0.612328,0.271649,,0.697402,
model_124,,,0.80591,,0.825192,,,,,,,,,,0.383463,,,,581.0,,,0.797311,0.816684,,0.725915,,,,,,0.373268,,,,,,,,,,,0.499312,,,,,,,,,,,,,,,,,,0.777293,,0.0,,,,,,,,,0.521404,,,,,0.630719,,,,0.546769
model_130,,,,,0.770993,0.711457,0.52586,0.554851,,0.0,,,,0.496689,,0.765164,,0.786039,373.0,,0.638197,,,,,,0.704313,,,,,,,,,,0.602467,,,,,,,,,0.398998,,,,0.839949,,,,,,,,,,0.704363,,,,,,,,,,,,,,,,,,,,0.475803
model_108,,,,,,,,,,,,,,,,,,,869.0,,,,,,0.725915,,,,,,,,,,,,,,,,,,1.0,,0.689116,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.734181,
model_134,,,,,,,,,,,,,0.564273,,,,,,261.0,,,,,,,,,0.533854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_120,,,,,,,,,,,,,,,,,,,773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.730173,0.854455,,,,,,,1.0,,,,,0.805357,,,,,,,,,,,,,,,,,0.597356,,
model_4,,,0.853487,0.827379,,0.661892,0.679344,,,0.389532,,,0.382527,0.630399,,,,,1914.0,,,,0.785519,,,,0.694255,0.521845,,0.453649,,,,0.592979,0.766242,0.489039,0.850752,,,,0.87098,,,0.628383,,0.451701,0.726855,,0.774205,0.786502,,,,0.608907,,,0.333903,0.64349,0.902112,0.800267,,,,,,0.506134,,,0.522263,0.806557,,0.683035,,,0.62583,0.629646,,,0.711107,
model_85,,,0.809365,0.831025,0.790502,,,0.60846,0.593303,,0.782316,,,0.618771,,0.72739,,0.750353,2890.0,,,,,,0.873891,,,0.514793,0.721618,,0.606383,,,,,,0.866925,0.584281,,,0.901649,,,0.599406,,,0.747265,0.790319,,,0.843185,,,,,,,,,0.816912,,,0.540326,,,,,0.911419,,0.823156,0.540073,0.683589,,,0.609251,,,0.741334,,0.895563
model_91,,,,,0.776819,0.681076,,,0.585748,,,0.737386,,,,,,,1834.0,,,,0.767235,,,0.57989,,,,,0.647738,,0.631929,0.615598,0.768006,0.489039,0.864346,0.600974,0.686129,,,,,,0.600823,0.469769,0.733536,0.750761,,0.722613,0.843185,,0.716258,,0.514909,,,,0.89873,,0.852249,0.531852,,0.92714,0.717218,0.500979,0.605255,0.908375,,,0.552633,,,,,,,,,
model_46,0.657552,0.548388,0.809365,0.761642,,,,0.53654,,,,0.695248,,,,0.7071,,,2346.0,,,0.815425,,,,,0.667335,,0.716246,,,0.474964,,,,,0.765111,0.574687,,,,,,,,,,0.636948,,,,,,,,,,0.617664,,,,,,,,,,,0.486579,,,0.672289,,,,,,,0.683969,
model_52,,,,,,,,,,0.0945583,,,,,,,,0.729422,2778.0,,,,,,,,,,,,,,,,0.7548,,,,,,,,,,,,,,,0.677816,,,,,,,,0.603272,,,0.719562,,,,,,,0.884142,,,,,0.486935,,,,,,,
model_53,,,,,,,,,,,0.782316,,,,,,,,1914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786494,,,,,,,,,,,,0.804692,,,,,,,,0.522263,,,,,,,,,,,
model_47,,,,,,,,,,,,,,,,,,,2442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506262,,,,,,,,,,,,,,
model_90,,0.543146,,,,0.634448,0.59875,,,,,,,0.60787,,,,0.704161,3066.0,,,0.831868,,,,,,,,,,,,,,,,,,,,,,,,0.431146,,0.600482,,,,,,,,0.665179,,,,0.786238,0.681695,,,,,,,,,,,,,,,,,,,0.801293
model_84,0.553125,0.525097,,,,0.577726,,0.47426,,0.179439,0.602516,0.692217,,,0.463871,0.656106,,,2682.0,,,,0.693842,,0.556372,,0.609976,0.468735,0.695054,,,,,,,,0.794784,,0.430613,,0.774082,0.590208,,,0.546421,,0.611508,,,,,0.690068,,0.527577,,,,,0.705619,0.680926,0.540151,0.123358,,0.811294,,0.439875,,,0.464234,,,,,,0.579516,,,,,
model_5,,,,,,,,,,,,,,,,,,,1962.0,,,,,,,,,,,,,,,,,,,,,,,,,0.595021,,,,,,,,,,0.608907,,,,,,,,,,,,,,,,,,,,,,,,,0.740737,
model_121,0.851171,,,0.705841,0.8385,,,,,,,,,,,,,,1237.0,,,,,,,0.619431,,,,,0.373268,,,,,,,,,,,0.499312,,,,,0.676124,,,,,,0.748836,,0.52059,,,,,,,,,,,,0.524235,,,0.766379,,0.609665,0.459078,,,0.636182,,,,
model_135,,,,,,,,,,,,,,,0.407429,0.858453,,0.809201,261.0,,,,,,0.725915,,,0.550032,0.674391,,,,,,0.739828,0.533442,,,,,,,0.837883,0.341317,,,,,,,,,,,,,,,,,,0.0,,0.939942,,0.584919,,,0.596177,,,,,0.489154,,,,,,
model_109,,,0.80591,,,,,,,1.0,,0.834759,,,0.407429,,,0.794051,1173.0,,,,,,,,,,,0.519882,,,,,,,,,,,0.602168,,1.0,,,0.419945,,0.730173,,,,0.66841,0.748836,0.537845,,,,0.64851,,,0.805357,0.0,0.592388,,,0.569768,,,,,0.499665,,,0.485107,0.573827,,0.442524,0.597356,,
model_123,,,,,,,,,,,,,,,,,0.652237,,389.0,,,,,,,,,,,,,,,0.622027,,,,,,,,,,,,,,,,,,,,,,,,0.64851,,,,,,,,,,,,,,,,,,,,,0.705943,
model_137,,,,,,,,,,,,,,,,,,,325.0,,,,,,,,,0.542633,,,,,0.686937,,,,0.648438,,,,0.602168,,,,,,,,,,,,,,,,,,,0.777293,,,,,,,,,,,,,0.459078,,,0.627925,,,,
model_7,,,,,0.771442,,,,,,,,,0.612349,0.536996,,0.671842,,3242.0,,0.756297,,,,,,,,,,0.670606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_92,,,,0.801439,,0.668075,,0.594545,,,,,,,,0.702956,,,4426.0,0.64674,,,0.773603,,,0.554503,,,0.70915,,0.647738,,,0.608784,,0.484184,0.832096,,,0.716414,,,,,,,,,,,,,,,,,,,,0.762208,,,,,,,,,,0.798431,,,,,,,,0.699823,,
model_86,,,,,,,,,0.55461,,,,,,,0.698694,,,2778.0,,,,,,,,,,,,,,,,,,0.804296,,,,,,0.671083,0.58219,,,,,0.755633,0.726002,,,,,,,,0.612167,,,,,,,,,0.567894,,,,,0.664839,,,,,,,,0.810233
model_51,,,0.845976,,0.771442,,,,,,,0.731074,0.419528,,,,0.737874,,3370.0,,,,,,,,,,0.718674,0.45563,,0.495382,,,,,,,0.663068,0.761964,0.87098,0.600957,,,0.605659,,,0.750761,,,,,,,0.464548,,,,,0.813813,,,,,,,0.585979,,0.514795,0.819442,,0.672105,,0.584851,,,,,,
model_45,0.687907,0.558794,0.871611,,0.765798,,,,,,0.739179,0.71398,0.380353,,,0.721047,0.737874,,1162.0,,,0.872233,0.755596,,0.68611,,0.672827,,0.71543,,,0.502105,,,,0.480459,,,,,,,,0.58219,0.594346,,0.739961,,,0.751185,0.796339,0.767678,,,,0.741071,0.290338,,0.91744,,,,0.538369,,0.705907,,0.576795,,0.514795,0.798845,,,0.501529,0.578353,,,,,0.729923,
model_79,,,,0.818548,,0.668075,,,,,,,,,,,,,2330.0,0.654868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_78,0.710067,0.55251,0.824664,,,0.674291,0.658625,,0.565809,0.389532,,,,,,,0.746192,0.715704,2042.0,0.650851,0.762722,,0.764494,,,,0.678109,0.51819,0.715708,,,,,,,,,0.570083,,,,,,,,,0.69954,0.684159,0.755633,0.756518,,,0.751202,,,0.632781,,,,,0.742541,,0.540326,,,0.485556,0.595461,,0.486195,0.811526,0.527513,,0.50642,0.574202,,0.619937,,,,
model_44,,,,,,,,,,0.325856,,,,,,,,,2442.0,,,,,0.537622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78285,,,,,,,,,0.775659,,,,,,,,,,
model_50,,,,,,,,,,,,,,,,,,,2794.0,,,,,,,,,,,,0.647738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.530984,,,,,,,,,,,,,,,,,,
model_87,,,0.772583,0.801439,,,,,,,0.782316,,,0.610064,0.511727,0.72739,,0.731758,1546.0,,0.72452,0.84668,0.758408,,,0.541111,,0.493637,,,0.647738,0.474964,0.630532,,,0.466734,,0.565403,,0.680306,,,,,,,0.663307,0.667309,0.764806,0.717237,,0.768455,,,,,0.222761,,,0.748907,,0.262822,,0.858178,0.675642,,0.587559,0.878201,,,,,0.501529,,,0.609742,,,0.717555,0.893045
model_93,,,,,,,,,,,,,,,,,,,2922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.616923,,,,
model_6,,,,,,,0.614151,,,,,,,,,,,,2266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.910232,0.720381,,,,,,,,,,,,,,0.696293,
model_136,,,,,,,,,,,,,,,0.407429,,,,325.0,,,,,,,,,,,,,,,,,,0.624608,,0.462326,,0.602168,,,,,,,0.682168,,,,,,,,,,0.616334,,,0.766752,,,,0.730226,0.569768,,,,,,,,,,,0.348271,,,
model_122,,,,,,,,,,,0.72521,,,,,,0.523954,,645.0,,,,,,,,,,,0.493115,,,,,,,,,,,,,,,,,,0.644108,,,,,,,0.341913,,,,,,,,,,,,,,,,,,,,,,,,,
model_186,,,,,,,,,,,,,,,0.388791,,,,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.560446,,,,,0.520873
model_192,,,,,,,,,,,,,,,,,,,469.0,,0.725987,,,,,,,0.541275,,,,,,,,,,,,,,,,,,,,,,0.846107,,,,,,,,,,,,,,,,,,0.836509,,,,,,,,,,,,
model_145,0.741042,0.619405,,0.705841,0.811638,0.756318,0.611702,,0.701072,,0.809858,,,,0.397892,,,,453.0,0.546233,,0.738427,,,,,,,0.671273,0.502029,,,,,,0.503884,,,,0.586483,,,,,,,0.676124,0.64458,0.854455,0.846107,,0.661813,,0.523759,,0.693859,,0.634099,,0.744153,0.805357,,,,0.782156,0.569768,,,,0.766379,,,0.411707,0.469744,,,0.442524,,0.714015,
model_151,0.851171,,,,,,,,,,0.809858,,,0.512604,,0.858453,,0.809201,421.0,,,,,0.415124,,,,,,,,,0.686937,,0.739578,,0.648438,0.340316,0.517882,0.563198,0.564732,,,,,,,,,,0.663691,,,,0.52059,,,0.64851,0.732686,,0.805357,,0.592388,,,,,0.84913,0.596177,0.766379,,,0.341315,,0.573827,0.631511,,,,
model_179,,,,,,,,,,,0.780191,,0.69641,,,,,,373.0,,,,0.816684,0.383293,,,0.727058,,,0.519882,0.373268,,,,,,0.624608,,,,,,,,0.689116,,,,0.876365,0.846107,,,,,,,,,0.711553,,,,,,,,0.478696,,,0.766379,,,,0.481584,,,0.348271,,,
model_37,,,,,0.725573,,,,,,,,0.356316,,0.518038,0.7071,,,2186.0,0.633021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.831546,,,,,,0.400854,,,,,,,,0.683284,,,,0.493439,,,,,,,,,,,
model_23,,0.539777,,,,,,,,0.202474,,,,,,,,,1898.0,,0.618415,,,,,0.542386,0.688178,0.507741,,0.434622,,0.459179,,0.591172,,0.475963,,,,,,0.550803,,0.566356,,0.418508,0.60602,,,,,0.73613,,0.548891,,,,,,0.778061,,0.1782,,,,,,0.842131,,0.732681,,,0.491529,0.563525,,,0.618907,0.718825,0.686127,
model_22,,,,,,,0.672038,,,,,,,0.620231,,,0.762868,,3610.0,,,,,,,,,,0.718141,,,,0.648661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.698011,,,,,,,,,,,,,,,0.87494
model_36,,,,,,,,,,,,,,,,,0.661749,,970.0,,,,,,,,,,,,,,,,,,,,,,,0.582746,0.680054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_178,,,0.847004,,,,,,0.650369,,,,,,,,,,373.0,,,,,,,,,,,0.519882,,,,,0.739703,,,0.311124,,,,,,,,,,,,,,,0.747451,,,,,,,0.777293,,,,,0.796611,0.584919,,,0.560969,,,,,,,0.636182,,,,
model_150,,,0.847004,,,,,,,,,,0.69641,,,,,,389.0,,,,,,,,,,,,,,,,,,,0.340316,,,,,1.0,,,,,,,0.846107,0.663691,0.66841,0.748836,,,,,0.64851,,,,,,,,,,0.84913,0.596177,,,,,,,,,,,0.542529
model_144,,,0.768621,,,,,,,,,0.830078,0.69641,,,,,,197.0,,,0.776666,,,0.578694,0.610143,,0.52619,,,,0.499897,,,,0.51425,0.531589,,,,,,,,,,,,,0.846107,,,,,,1.0,,,,,,,0.581475,,,,,,,0.716452,,,,,,,,0.43069,,0.513161
model_193,,0.608633,,,,,0.633228,,,1.0,0.809858,,0.564273,,0.39288,,,,373.0,,,,,,,0.619431,,0.550032,,0.519882,0.314484,,,,,,0.648438,,,,0.602168,,1.0,,0.596684,,,,,,,,,,,,0.0,0.643371,,0.713724,,0.0,,,,,,,,,,,,,0.56724,,,,,
model_187,,0.619405,,,0.8385,,0.633228,,,1.0,0.802339,,0.69641,,,,,,421.0,,0.788476,,,,,,,,0.67123,,0.373268,,,,,0.533442,,,0.517882,0.586483,,,,,,,,0.730173,,0.846107,,,,,0.52059,,,,0.732686,0.777293,0.805357,0.0,0.592388,,,,,,,,0.521404,,,,0.573827,,,,,
model_191,,,,,,,,0.887127,0.650369,,,,,,0.388791,,0.710219,,389.0,,,,,,,,,,,,,,,,0.739452,,,,,,0.602168,,0.912612,,0.689116,,,,,,0.663691,0.661813,,0.523759,0.52059,,,,0.732686,,,,,,,0.584919,0.524235,,,,,,,,,,,,,0.542529
model_185,,,,,,,,,,,,0.834759,,,,,,,421.0,,,,0.825875,,,,0.727058,,,,,,,,0.739973,,0.648438,,,,,,1.0,,,,0.676124,,,,,,,,,,,,,,,0.0,,,,0.569768,,,,,,0.609665,,,,,0.348271,,,
model_152,,,,0.690223,,,,,,,,,0.564273,,,,,,389.0,,,,,,,0.605017,,,0.672319,,0.373268,,,,,,,,,,0.602168,,,0.282163,,0.419945,0.676124,0.730173,0.880072,0.814761,,,,,,,,,,,,,,,,,,,,,,,0.459078,,,0.636182,,,,
model_146,,,0.847004,0.690223,,,,,,0.307301,,0.834759,0.69641,,,,,0.809201,485.0,,,,,,,0.619431,0.74398,,,,,,,,,,0.648438,,,0.563198,,,1.0,,,0.419945,,,,,0.646711,,0.748836,,0.52059,,,0.643371,,,,,,,0.796611,,,,,0.740575,,,,,,,0.442524,,,
model_20,0.676868,,,,0.771442,,,,,,,,,,,,,,1146.0,,,0.8505,,,,0.588877,,,0.719734,0.463665,,,,0.611247,,,,,0.736743,,,,,,,0.449891,0.768854,,,,,0.746781,,,0.514909,0.701076,,,,,,0.419111,,0.907182,0.698011,,,0.910427,0.522263,,,0.67912,,,,0.626552,0.674593,,0.751876,0.895563
model_34,,,,,,,,,,,,,,,,,,,1034.0,,,,,0.492977,,,,,,,,,,,,,,,,,,,,,,,0.655267,,,,,,,,,,,,,,,,,0.908422,,,,,,,,,,,,,,0.652374,,
model_35,,,0.83317,,,0.687163,0.6507,,,,,0.73375,,,,,0.714466,,1178.0,,,,,,,,,,,,,,,,,0.493271,,,,,,,,,,,,,,,,,0.711609,,,,,,,,,,,,,,,,,0.815569,,0.649688,,,0.620669,,,,,
model_21,,,0.780251,0.764558,,,,,,,,,,,,,,,2330.0,,,,,,,,,,,,0.574468,0.434253,,,,,,,0.463392,,,,0.715064,,,,,0.652745,,0.717237,,,0.745943,,,,0.286121,0.627588,,,0.781598,,,0.868048,,,,,,,0.514586,,,,,,,,0.696293,
model_147,,,,,,,,,,,,,,,,,,0.809201,389.0,,0.788476,,,,0.657567,,,,,,,,0.719091,,0.739598,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.939942,,0.584919,,,,,,,,,,,,,,
model_153,,,,0.691896,0.832109,,,0.554851,,,,,,,,,,,1317.0,,,,,,,,,,,,,,,,,,0.610295,0.311124,,,,,,,,,,,,,,,0.713228,,,,,0.64851,,0.744153,,,,0.88669,,,,0.836509,,,,0.593129,,,,,,,,
model_184,,,,0.69903,0.8385,0.756318,,,,,,,,0.496689,,,,,485.0,,,0.797311,0.828365,0.415124,,,,,,,,,,,0.739578,,,,,,,,,,,0.419945,,,0.880072,,,,,,,,,0.64851,,,,0.0,,,,,,0.84913,,,,,,,,0.631511,,,0.714015,
model_190,,0.608633,0.80591,,,,,,,,,0.834759,,,,,,0.779458,997.0,0.565545,,,,,,0.619431,,0.550032,,,,,,,,0.494157,,,,,,,,,,,,,,,0.663691,,,0.537845,,,,,0.711553,,,,,0.91254,,,,,,,0.479716,,0.459078,,,,,0.597356,0.714015,
model_194,,,,,0.8385,0.756318,0.611702,,,,,,0.69641,,,,0.710219,,517.0,,,,,,,,0.74398,,,,,0.499897,0.719091,,,,,,,,,,,,,,,,,,,,0.748836,,0.52059,,,,,,,,,,,,,,,,,,,,,0.636182,,,0.714015,
model_180,,,,,,,,,,,,,0.69641,,,,,,357.0,,,0.770734,,,,,,,,,,,,,,0.513163,,,,,0.602168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_157,,,,,,,,,,,,,,,,,,,453.0,,0.788476,0.797311,,,,,,,,,,,,,,,,,0.462326,,,,,,,,,,,,0.663691,,,,,,,,,,,,,,,,,,,,0.521404,,,,,,,,,
model_143,,,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.521404,,,,,,,,,
model_25,,,,,,,0.692403,,,,,,,,,,,,2794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.803537,,,,,,,,,,,,,,,,,,,,
model_31,,,,,,,,,,,,,,,,,,,970.0,,,,,,,0.557883,,0.507852,0.716246,,,0.495255,,,0.763813,,,,,,,,,,0.597611,,0.726855,0.609229,,0.736021,0.840988,,0.751099,,0.476191,,,,,,,,0.535103,,0.720381,,,,,,,,,,,,,0.733434,,
model_19,,,0.845976,,,0.674291,,,,,0.739955,,0.391152,,0.505704,0.734995,,,2458.0,,,,,,,0.57989,,0.511188,,,,,,,,,,,,,,0.600957,,0.608431,,,,,0.774205,,,0.759689,,,,0.665179,,,,,,,,,,,,,,,,0.657431,0.50147,,,0.62348,,,,
model_18,,,0.845976,0.809903,,,0.678583,,,,,,,0.60787,,0.713042,,,1914.0,,0.711928,,,,,,,,,,,,,,0.765538,,,,,,,,,,,,,,,,0.829363,,,,,,,,,,,,0.539517,,0.691101,,0.605255,0.865779,,,0.532565,,,,,,,,,
model_30,,0.576077,,,0.790502,,0.678583,,0.578383,,,,,,,0.72739,0.762868,,1802.0,,0.72452,,,,,,,,,,,0.495382,,0.595599,,,,0.588209,,,,,,,,0.469769,,,,,,,0.766663,,,,,,,,,,,,,,,,0.507756,,,0.693965,,0.582957,0.634462,,,,,
model_24,,,,,,,,,,,,,0.400174,0.630399,,,,,666.0,,,,,,,,,,,,,,,0.615598,0.767082,,,,,,,,,,,,0.747265,,,0.756007,,,,0.602862,0.514909,,,,,0.803537,0.817299,,,,,0.516423,,,,,,,,,,,,,,
model_142,,0.619405,,,,,,0.887127,,,,,0.69641,,,,0.710219,,229.0,,,,,,,,,,,,,0.499897,,0.622027,0.740079,,,,,,,,,0.341317,,,,0.684711,0.854455,,0.633272,0.643315,0.748836,,,,,,0.732686,,0.805357,0.0,,,0.771016,0.584919,,,,0.757955,0.521404,,,0.489154,0.558606,,,,,
model_156,,,,,,,,,,,,,,,0.407429,,,,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512072,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,
model_181,,,,0.705841,,0.671622,,,,,,,,,0.397892,,,,373.0,,,,,,,,,,,,,,,,,,0.602467,,,,0.602168,,,,,,,,0.880072,,,,,,,,,0.64851,,,,,,,,,,,,,0.521404,,,,0.573827,,0.442524,,,
model_195,,,,,0.825192,,,0.887127,,1.0,0.809858,0.834759,,0.512604,,,,0.809201,373.0,,,,,0.413954,,,,,,,,,,,,,,,0.517882,0.586483,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.573827,,,0.597356,,
model_183,,,,,,,,,,,,,,,,,,,373.0,,,,,,,0.619431,,,,0.519882,0.34136,,0.719091,,,,,,,,,,,0.315391,0.689116,,,,,,,,0.748836,0.537845,0.52059,,,,,,,,0.589228,,,,,,,,,,0.459078,,,,,,,
