,remote,sandwich,motorcycle,horse,suitcase,umbrella,frisbee,tie,bottle,skis,dog,cat,fork,broccoli,cell phone,airplane,teddy bear,toothbrush,elephant,handbag,cost,car,truck,orange,giraffe,mouse,fire hydrant,snowboard,kite,person,baseball bat,chair,bed,skateboard,tv,knife,wine glass,laptop,sink,bear,book,bus,oven,microwave,bowl,cup,parking meter,bench,banana,zebra,toilet,couch,bird,cake,baseball glove,bicycle,spoon,clock,traffic light,tennis racket,refrigerator,carrot,vase,sports ball,dining table,keyboard,toaster,train,stop sign,pizza,apple,cow,backpack,potted plant,surfboard,scissors,boat,hot dog,sheep,donut
model_162,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,0.673167,,,,,,,,,,,,,,,,,,,,0.766379,,,,,,,,,0.812386,,,,,,,,,0.730173,0.796611,,,,,,,,,,
model_10,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.840988,,,,,
model_38,,,,,,,,,,,,,,,,,0.750694,0.531852,,,110.4,,,,,,,,,,,,,,,,0.596724,,,,,,,,,,,,,0.859441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617429,
model_200,,,,,,,,,,0.256869,,,,,,,,,,0.175447,36.8,,,,,0.725628,,,,,0.636947,,,,,,,0.807291,,,,,,,,0.626018,,0.650369,,,,,0.517677,,,,0.564273,,,,,,,,,,,,,,,,,,,,,0.603016,,
model_39,0.574687,0.501322,,,,,,,0.578865,,,,,,0.546943,0.829102,0.760641,,,,110.4,,0.618771,,,,,,0.615598,,,,,,,0.619167,,,,,,0.789086,,0.686129,,,,,,,,,,0.773296,,,,0.788044,0.641085,,,,,,,0.678583,0.325856,,,,,0.770096,,,,,,,,0.78211
model_11,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,0.76743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600823,,,,,,,,,,,,,,,
model_163,,,,,,,,,0.489154,,,,,,,,,0.0,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.836509,,,,,,,,,,0.812386,,,,,,,,,,,,,,,,,0.593129,,,
model_177,,,,,0.495476,,,,,,,,,,,,,,,,36.8,,,,,0.788476,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.713228,,,,,,,,,,,,,,,,,,,,,,,,,,
model_188,,,0.690223,0.732686,,,,,0.48534,0.341317,,,0.887127,0.533442,,0.847004,1.0,,,,36.8,0.671273,0.512604,,,,,0.442524,,,0.636947,,,0.734181,,,,0.858453,,,,0.876365,0.373268,,,,,,,,,0.711457,0.550032,,0.563198,0.777293,,0.816684,0.64851,0.834759,,0.407429,0.596177,0.74398,,,1.0,,0.684711,0.796611,,,,0.569768,0.663691,,,0.652237,,0.846107
model_149,,,0.705841,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,0.809858,,,,,,,0.636182,,,,,,,,,,,,,,,,,,,,0.611702,,,,,,,,,,,,,,
model_161,,,,,,,,0.719091,0.485107,,,0.602168,,0.533442,,0.847004,,,,,36.8,0.673358,,,0.939942,,,,,,,,,,,0.499312,,,0.802339,0.725915,,,,0.517882,0.619405,,,,,,,,,,,0.777293,0.474481,,,,0.732774,,,,0.596684,,1.0,,,,,0.66841,0.362178,,,0.0,,0.65925,0.573827,
model_175,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,0.519882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_13,,,,,0.654868,,,0.648661,,,,,,,,,,,,,110.4,,,,,0.726878,,,,,,,0.719981,,,,,,,,,,,,,,,,0.488837,,0.840454,,,,,,,,0.629334,,,,,,,,,,,,,,0.537622,,,,,,,0.766336
model_12,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.910427,,,,,,,,,0.630084,,,,,,,,,,,,,,,,,,,,,
model_174,,,,,,,,,,,,,,,,0.847004,,,,,36.8,,,,,,0.71883,,,,,,,,0.809201,,,,,,,,,,,0.633471,,,,,,,,,,0.744153,,,0.634099,,,,,,,,,,,,,,,,,,,,,
model_160,,,,,,,,,,,,,,,,0.847004,,,,,36.8,,,,,,,0.348271,,,,0.592388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689116,,,0.568225,,,,,,,,,,,,
model_148,,,,,,,,,,,,,,,,,,,,,36.8,,,0.619431,,,,,,,,,,,,,0.537845,,,,,,,,,,,,,,,0.756318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
